country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Australia,15.8,16.7,15.4,11.9,16.4,14,16,13.8,18,15.8,13.3,13.7,13,13.4,,,
Austria,22,21.9,21.6,20.9,19.4,19.2,18.6,18.2,18.1,17.7,17,15.7,15.4,14.9,,12.4,
Belgium,11.5,10.3,9.9,8.9,7.5,7,5.8,6.4,5.9,3.3,4.7,3.7,4.2,3.4,,,
Bulgaria,,,,,,6.9,,,,4.1,,,,3,,2.6,
Canada,21.3,21.1,20.8,20.5,20.1,19,19.2,19.5,19.3,19.2,18.6,18.2,18.2,18.5,,16.1,16.7
Chile,,5.6,,,9.1,,16,,10.7,,14.3,,12.5,,,8.6,
Colombia,,,1.3,1.7,3.4,6.4,3.5,8.2,7.1,9.6,11.1,7.1,7.7,5.8,,,
Costa Rica,,,,,,,4.6,0.6,,5.1,3.7,1.8,3,4.7,,,
Croatia,,,,,,3.8,,,,,,,,7.9,,,
Cyprus,,30.5,,,,24.6,,,,13.4,,,,15.9,,16.6,
Czech Republic,15.9,15.4,16.9,17.9,15.1,15.8,16.3,15.3,15.4,16.3,16.5,16,15.6,15.1,,12.4,11.5
Denmark,10.2,10.2,9.9,10.2,10.2,8.9,7.9,7,6.8,6.3,5.8,5.7,5.3,4.9,,5,
Estonia,,27.9,,,,27.8,,,,28.3,,,,22.7,,19.6,
Finland,18.9,19.4,21.4,21.2,19.7,18.9,18.6,18.7,20.2,19.6,18.1,16.5,17.7,18.9,,16,
France,,9.4,,,,9.1,,,,9.9,,,,11.8,,,
Germany,16.8,18.5,17,17,17,16.7,16.9,16.3,14.3,17.2,16.1,15.8,14.4,15.4,,14.2,
Greece,,17.7,,,,9.9,,,,7.2,,,,5.9,,,
Hungary,4,0.4,3.6,2.2,3.9,6.4,6.9,11.3,8.7,3.8,9.5,9.4,5.3,5.1,,12.4,
Iceland,,23.3,,,,16.5,,,,13.8,,,,12.9,,,
Ireland,,19.6,,,,14.3,,,,10.6,,,,8.3,,,
Israel,21.9,22,20.4,22.1,21.1,20.4,19.7,20,20.3,20.1,20.4,21.6,21.8,22.7,,,
Italy,,10.5,,,,5.6,,,,6.6,,,,5.7,,,
Japan,32.8,33,31.7,30.7,28.3,28.7,27.4,26.5,26.6,25.9,25.7,24.6,24.5,23.5,,22.5,22.1
Korea,39.6,39.8,38.2,39,38.6,39.6,36.6,36.3,36.6,36.7,37.2,36.7,34.6,34.1,,31.5,31.1
Latvia,,8.5,,,,19.1,,,,21.1,,,,20.3,,,
Lithuania,,16.8,,,,10.6,,,,12.5,,,,11.7,,9.3,
Luxembourg,,7.7,,,,4.6,,,,3.4,,,,,,,
Malta,,7.4,,,,7.1,,,,9,,,,11.1,,,
Mexico,16.7,18.6,12.5,22.2,16.7,11.6,10,13.6,15.4,18.3,16.7,16.5,11.1,14,,,12.5
Netherlands,,16,,,,17.9,,,,15.3,,,,12.7,,13.3,
New Zealand,9.6,9.3,7.1,8.1,8.8,7,4.5,5.9,6.6,6.1,7.9,7.8,7.2,7.9,,4.6,6.7
Norway,8.6,8.2,8.8,8.8,8.3,7.2,7.1,5.8,6.6,5.8,7,6.3,5.5,5.1,,4.8,4.6
Poland,,11.4,,13,,7.2,,10.6,,11.1,,9.4,,11.5,,8.7,
Portugal,,12.8,,,,16,,,,15.3,,,,11.7,,11.7,
Romania,,8.4,,,,9.6,,,,1.5,,,,3.5,,3.3,
Slovak Republic,20.1,17.8,17.5,16.4,16.4,14.9,15.4,16,14.1,14.4,13.4,13.9,15,15.7,,11,11.7
Slovenia,,6.6,,,,1,,,,5,,,,8.2,,,
Spain,,13.5,,,,13.5,,,,11.5,,,,8.6,,8.1,
Sweden,11.3,11,11.8,10.6,9.5,9.4,9.2,9.3,9.4,9.2,8.3,8.2,7.3,7.1,,7.4,
Switzerland,,21.3,,21.3,,20.1,,19.3,,16.9,,14.8,,15.1,,13.8,
Turkey,,3.2,,,,3.1,,,,6.9,,,,10,,,
United Kingdom,22.1,21.7,21.6,21.9,20.7,19.2,18.2,17.8,17.5,17.4,17.1,16.8,16.5,16.3,,12,14.3
United States,19,19.2,19.8,20.1,19.8,18.8,17.8,19.1,17.9,17.5,18.9,18.1,18.2,18.9,,17.7,16.9
